Wall time,Step,Value
1658723232.8163722,11899,-4.0
1658723237.1113353,16017,-5.0
1658723246.1629033,26707,-5.0
1658723247.8272774,28398,-5.0
1658723254.103686,35418,-5.0
1658723261.5043478,44249,-5.0
1658723262.926667,45986,-5.0
1658723272.6458523,58001,-5.0
1658723306.8783922,96972,-4.0
1658723308.4457436,98652,-5.0
1658723313.4541948,104512,-5.0
1658723320.133695,113989,-5.0
1658723321.1369188,115509,-3.0
1658723342.0016048,144855,-4.0
1658723343.7639992,147318,-5.0
1658723353.5822034,161195,-5.0
1658723356.0667617,164435,-4.0
1658723359.0554338,168290,-5.0
1658723361.9070718,172117,-5.0
1658723377.808643,193582,-5.0
1658723378.9569016,195114,-5.0
1658723382.8727803,200187,-5.0
1658723392.9180343,213353,-5.0
1658723396.748896,218395,-5.0
1658723406.5911057,231262,-5.0
1658723669.2071948,264444,-5.0
1658723669.7443147,265255,-4.0
1658723678.0011685,277618,-4.0
1658723679.0814111,279249,-5.0
1658723684.769688,287904,-5.0
1658723685.9389503,289646,-5.0
1658723686.1810055,290022,-5.0
1658723690.0338693,295844,-5.0
1658723697.2794986,306846,-5.0
1658723705.8494205,319992,-5.0
1658723715.5095892,334755,-5.0
1658723726.6870997,351844,-5.0
1658723730.9710605,358338,-5.0
1658723733.306586,361898,-5.0
1658723736.4772973,366745,-5.0
1658723736.836377,367293,-5.0
1658723750.3504133,387946,-5.0
1658723751.1285865,389130,-4.0
1658723756.0456915,396619,-3.0
1658723758.926337,400960,-5.0
1658723759.2364068,401425,-5.0
1658723759.8165376,402295,-5.0
1658723760.9457893,403999,-5.0
1658723761.9610186,405539,-5.0
1658723766.9661443,413146,-5.0
1658723771.4761536,420024,-3.0
1658723789.076106,446858,-5.0
1658723792.000763,451335,-5.0
1658723795.23849,456308,-5.0
1658723798.9873314,462012,-5.0
1658723803.873428,469453,-4.0
1658723805.3277557,471692,-5.0
1658723808.9115598,477178,-5.0
1658723810.56393,479711,-5.0
1658723811.3070972,480849,-5.0
1658723812.2433074,482288,-5.0
1658723815.0319338,486545,-5.0
1658723817.022381,489565,-5.0
1658723818.1366296,491262,-5.0
1658723820.0330572,494140,-5.0
1658723820.8962498,495456,-5.0
1658723822.5156136,497923,-5.0
1658724056.1807783,500429,-6.0
1658724058.9378824,504363,-5.0
1658724059.3519764,504996,-5.0
1658724068.7110777,519263,-5.0
1658724070.2564254,521635,-5.0
1658724084.2795732,543093,-5.0
1658724087.258243,547673,-5.0
1658724089.799813,551583,-5.0
1658724095.470087,560250,-5.0
1658724097.1814702,562817,-5.0
1658724099.9520912,567058,-5.0
1658724100.758273,568306,-5.0
1658724103.781954,572964,-5.0
1658724109.2501798,581340,-5.0
1658724113.5721495,587994,-5.0
1658724114.8004267,589882,-5.0
1658724118.472249,595548,-5.0
1658724121.5329368,600253,-5.0
1658724125.1997604,605876,-5.0
1658724125.6778688,606607,-5.0
1658724127.7333298,609719,-5.0
1658724128.0263956,610165,-5.0
1658724130.0998616,613335,-4.0
1658724137.8916094,625243,-5.0
1658724139.0448692,627018,-5.0
1658724142.3216052,632071,-3.0
1658724159.8205328,658976,-5.0
1658724161.827983,662081,-5.0
1658724163.125275,664079,-5.0
1658724163.8464372,665197,-5.0
1658724165.7768712,668178,-4.0
1658724168.2044156,671922,-5.0
1658724170.1508524,674893,-5.0
1658724174.1897593,681145,-5.0
1658724176.6123025,684886,-5.0
1658724178.6177552,687994,-5.0
1658724183.0447457,694784,-4.0
1658724199.9705474,720744,-5.0
1658724201.722941,723402,-5.0
1658724201.984,723802,-5.0
1658724202.263061,724233,-5.0
1658724209.1846151,734929,-5.0
1658724214.5698247,743212,-5.0
1658724460.7781022,752058,-5.0
1658724476.573649,775440,-5.0
1658724480.9506319,781901,-5.0
1658724482.2429202,783792,-5.0
1658724483.4902017,785636,-4.0
1658724492.642255,798501,-4.0
1658724495.4178798,802334,-5.0
1658724498.8386474,807051,-4.0
1658724501.3702145,810684,-4.0
1658724508.0517156,820578,-5.0
1658724509.565054,822801,-4.0
1658724513.8060076,829049,-4.0
1658724515.0112784,830845,-5.0
1658724516.0445094,832369,-5.0
1658724516.398589,832894,-5.0
1658724536.2190394,862166,-5.0
1658724537.5713432,864173,-5.0
1658724538.915644,866158,-2.0
1658724539.3477411,866797,-5.0
1658724548.4667888,880228,-5.0
1658724552.7507513,886579,-5.0
1658724556.6856344,892365,-3.0
1658724558.1379592,894526,-5.0
1658724567.4020412,908164,-5.0
1658724567.976169,909013,-5.0
1658724572.264132,915353,-4.0
1658724575.6648953,920369,-5.0
1658724578.243473,924109,-5.0
1658724591.990561,944355,-5.0
1658724593.8219717,946703,-5.0
1658724604.1482902,961869,-5.0
1658724611.00383,971959,-5.0
1658724611.505942,972693,-4.0
1658724618.3794847,982556,-5.0
1658724620.820033,985213,-5.0
1658724628.3467221,996069,-5.0
1658724628.6917999,996575,-5.0
1658724901.6747704,1011069,-3.0
1658724906.288806,1017250,-5.0
1658724907.784142,1019218,-5.0
1658724909.8306015,1022036,-5.0
1658724911.2109108,1023936,-5.0
1658724916.3120568,1030968,-5.0
1658724919.7638319,1035725,-5.0
1658724923.3566382,1040673,-5.0
1658724926.337307,1044807,-5.0
1658724929.91211,1049754,-5.0
1658724931.7725282,1052319,-5.0
1658724932.6337204,1053474,-5.0
1658724933.8800015,1054881,-4.0
1658724936.048493,1057281,-5.0
1658724940.3288004,1062067,-4.0
1658724945.49496,1068496,-5.0
1658724952.3905134,1077035,-5.0
1658724953.189692,1078063,-5.0
1658724954.8200586,1080122,-5.0
1658724957.126576,1083017,-5.0
1658724958.5518954,1084857,-5.0
1658724959.0900142,1085509,-4.0
1658724969.233294,1098115,-5.0
1658724973.8463285,1103757,-5.0
1658724977.1980817,1107744,-5.0
1658724981.2799966,1112798,-4.0
1658724981.7801106,1113454,-5.0
1658724986.1240869,1118811,-5.0
1658724989.5479434,1123063,-5.0
1658725000.9885135,1137372,-5.0
1658725003.0639775,1140032,-5.0
1658725008.5855196,1146945,-5.0
1658725010.3189068,1149057,-5.0
1658725015.2352595,1155049,-5.0
1658725021.5809598,1162960,-5.0
1658725022.966271,1164674,-5.0
1658725026.1369839,1168580,-4.0
1658725027.1052084,1169690,-5.0
1658725045.2153895,1191429,-5.0
1658725048.1400454,1195097,-5.0
1658725056.510925,1205464,-5.0
1658725061.6790915,1211927,-4.0
1658725063.1034088,1213703,-5.0
1658725064.0276163,1214849,-5.0
1658725073.6280332,1227144,-5.0
1658725080.6206033,1236326,-5.0
1658725081.399779,1237285,-5.0
1658725090.7858844,1249166,-5.0
1658725348.593199,1252192,-4.0
1658725352.2960284,1257305,-5.0
1658725360.6165438,1268861,-5.0
1658725363.252041,1272285,-5.0
1658725374.1447873,1286450,-5.0
1658725381.3580654,1294926,-5.0
1658725383.276552,1297247,-5.0
1658725383.8012502,1297890,-5.0
1658725385.9243524,1300515,-5.0
1658725387.855584,1302906,-5.0
1658725389.952127,1305428,-5.0
1658725393.4555666,1309763,-5.0
1658725402.1173697,1319568,-4.0
1658725419.633469,1340463,-4.0
1658725421.8655457,1343251,-5.0
1658725425.0691042,1347231,-4.0
1658725430.0281785,1353418,-5.0
1658725436.0861511,1360923,-5.0
1658725440.956157,1366969,-5.0
1658725442.2901962,1368614,-5.0
1658725443.1992404,1369685,-5.0
