Wall time,Step,Value
1658862468.9824054,1158,-12.0
1658862470.3849788,3099,-28.30000114440918
1658862470.4095628,3132,-11.399999618530273
1658862470.8994136,3824,-16.700000762939453
1658862471.763971,5063,-8.40000057220459
1658862472.5668554,6210,-10.800000190734863
1658862473.547703,7570,0.09999998658895493
1658862473.6020777,7645,0.5
1658862473.7193444,7805,0.5
1658862474.1437101,8349,0.09999998658895493
1658862474.2238858,8464,0.5
1658862474.3364859,8600,0.5
1658862474.4046445,8687,0.5
1658862474.4346375,8723,0.5
1658862474.640223,8991,0.5
1658862474.6482131,9003,0.5
1658862474.6890752,9053,0.5
1658862474.8447096,9241,0.5
1658862474.9390283,9363,0.5
1658862475.2096875,9691,0.5
1658862475.366438,9900,-18.399999618530273
1658862475.44684,10008,0.5
1658862475.5130699,10092,0.5
1658862475.8177707,10470,0.5
1658862475.9518266,10638,0.5
1658862476.026925,10734,0.5
1658862476.0616288,10778,0.29999998211860657
1658862476.0666356,10784,0.5
1658862476.2322717,10988,0.5
1658862476.3031645,11072,0.5
1658862476.3659484,11150,0.5
1658862476.4301019,11234,0.5
1658862476.478219,11294,0.5
1658862476.6849802,11552,0.5
1658862476.7319903,11610,-0.5
1658862476.7703612,11658,0.5
1658862476.9388647,11870,0.5
1658862476.9558778,11894,0.5
1658862476.9668672,11906,0.5
1658862477.035414,11990,0.5
1658862477.044409,12002,0.5
1658862477.0764174,12044,0.5
1658862477.1175468,12092,0.5
1658862477.146356,12128,0.5
1658862477.2873878,12304,0.5
1658862477.8171654,12967,0.5
1658862477.8979797,13069,0.5
1658862477.9449801,13123,0.5
1658862477.948978,13129,0.5
1658862477.9799857,13165,0.5
1658862478.0076723,13201,0.5
1658862478.0967731,13313,0.5
1658862478.1127708,13331,0.5
1658862478.155776,13387,0.5
1658862478.3998473,13681,0.5
1658862478.4118326,13699,0.5
1658862478.4428506,13735,0.5
1658862478.4688566,13771,0.5
1658862478.541873,13861,0.5
1658862478.5708742,13897,0.5
1658862478.593891,13927,0.5
1658862478.838934,14239,0.5
