Wall time,Step,Value
1658862468.082204,215,-0.21309545636177063
1658862468.0982075,230,-0.3875032961368561
1658862468.2272367,360,-0.29505792260169983
1658862468.358265,475,-0.6277427077293396
1658862468.648329,795,-0.6144468188285828
1658862468.6893404,840,-0.6307286620140076
1658862468.9764047,1150,-0.22708703577518463
1658862469.005411,1175,-0.44731754064559937
1658862469.0964322,1280,-0.30567827820777893
1658862469.1714478,1370,5.980761528015137
1658862469.2974274,1545,-0.6291815638542175
1658862469.3044286,1555,-0.5113078355789185
1658862469.3315225,1595,0.4787746071815491
1658862469.6991236,2110,-0.9417476654052734
1658862469.8331532,2305,-0.2349129170179367
1658862469.8801074,2375,-0.4084944725036621
1658862470.1000361,2685,-0.6125512719154358
1658862470.2515903,2900,-0.373532235622406
1658862470.275954,2935,-0.3996763527393341
1658862470.4415636,3175,-0.29936227202415466
1658862470.4845486,3240,-0.3819558024406433
1658862470.5664668,3360,0.144384503364563
1658862470.7107577,3575,-0.3999159336090088
1658862470.7403848,3615,-0.6274070143699646
1658862470.9278057,3860,-0.5073167085647583
1658862470.9768147,3930,-0.2440597414970398
1658862471.0378284,4015,-0.20109790563583374
1658862471.058835,4045,-0.1500316709280014
1658862471.1577945,4185,-0.20762626826763153
1658862471.5412285,4730,-0.1549685150384903
1658862471.6279235,4860,0.05656208470463753
1658862471.773986,5075,-0.6652189493179321
1658862471.9550145,5335,-0.09731831401586533
1658862472.0889046,5525,0.38123953342437744
1658862472.3509893,5905,-0.03585721552371979
1658862472.6386206,6310,-0.10492657124996185
1658862472.8216698,6585,-0.058520082384347916
1658862472.830671,6600,-0.05350447818636894
1658862472.8810966,6670,0.16075842082500458
1658862472.8940995,6690,23.78378677368164
1658862473.066432,6930,0.2695234417915344
1658862473.0914388,6965,-0.3896729648113251
1658862473.253914,7185,-0.1435798704624176
1658862473.3673258,7335,0.5797301530838013
1658862473.5830736,7620,-0.34451279044151306
1658862473.6883228,7765,2.209045171737671
1658862473.751351,7845,-1.989241361618042
1658862473.8115172,7925,0.27309831976890564
1658862474.0356858,8205,-1.0933737754821777
1658862474.2238858,8460,0.05511500686407089
1658862474.2946973,8550,-0.0013513340381905437
1658862474.3324847,8595,-0.001187750487588346
1658862474.3956287,8675,-0.00033370539313182235
1658862474.4086516,8690,-0.0013489637058228254
1658862474.5800474,8910,0.006569093093276024
1658862474.8317056,9225,-0.0006872467347420752
1658862474.9179473,9335,-0.0005015402566641569
1658862474.93104,9350,-0.00041520106606185436
1658862474.963034,9390,-0.0006448508356697857
1658862475.1281066,9590,-0.0006287656724452972
1658862475.1976864,9675,-0.0006709740846417844
1658862475.2484174,9740,0.0014686635695397854
1658862475.5886734,10185,-0.0006184669909998775
1658862475.8307743,10485,-0.0005308674299158156
1658862476.1976638,10940,-0.0002762706426437944
1658862476.244269,11000,-0.00013138234498910606
1658862476.3740919,11160,-0.0002712733985390514
1658862476.3980935,11190,-0.0002732690772973001
1658862476.478219,11290,-0.0002778979542199522
1658862476.4962363,11315,-0.00027504656463861465
1658862476.6769857,11540,-0.0002584163739811629
1658862476.7239892,11600,-2.4345197677612305
1658862476.8653753,11775,0.00031931756529957056
1658862477.002877,11950,-0.00020361221686471254
1658862477.0068822,11955,-0.00019801351299975067
1658862477.1953673,12185,0.00012843548029195517
1658862477.2633832,12270,-0.00010611323523335159
1658862477.2713895,12280,-8.477902156300843e-05
1658862477.2903888,12305,-0.00012696416524704546
1658862477.393107,12430,-0.0001196108860312961
1658862477.3980927,12435,-0.0001369766250718385
1658862477.4470818,12495,-0.00013810575183015317
1658862477.4650788,12520,-0.00012110308307455853
1658862477.5799413,12665,-0.00013677314564120024
1658862477.6404846,12740,-0.000141331969643943
1658862477.664483,12770,-0.00014199840370565653
1658862478.1937816,13430,-9.712818427942693e-05
1658862478.418831,13705,-8.695643191458657e-05
1658862478.6118753,13950,-0.00010480509081389755
1658862479.0479732,14485,-9.635858441470191e-05
1658862479.3460605,14840,-0.000115805167297367
1658862479.6291246,15195,-0.0001261699217138812
1658862479.641126,15210,-0.00012744600826408714
1658862479.869177,15500,-8.992870425572619e-05
1658862480.128235,15810,-9.7077434475068e-05
1658862480.4142838,16155,0.00010929032578133047
1658862480.4693062,16225,-4.390993854030967e-05
1658862480.478314,16235,-5.079599213786423e-05
1658862480.482316,16240,-4.819020250579342e-05
1658862480.7203524,16530,-5.1698061724891886e-05
1658862481.4225204,17405,0.00040942401392385364
1658862481.8976264,18005,-3.547335654729977e-05
1658862481.9686313,18095,-3.5647677577799186e-05
1658862481.9766448,18105,-3.1966188544174656e-05
1658862482.1746888,18355,-3.671627928270027e-05
1658862482.4717453,18710,-3.7240813981043175e-05
1658862482.678808,18970,-3.615724926930852e-05
1658862482.7588258,19075,-3.8327747461153194e-05
1658862482.7878134,19110,-3.6069395719096065e-05
1658862483.233706,19645,-3.9682159695075825e-05
1658862483.3929014,19785,-3.513508272590116e-05
1658862483.5254161,19925,-9.611594578018412e-06
1658862483.7708359,20185,-4.079879363416694e-05
1658862484.1442811,20495,-3.2036441552918404e-05
1658862484.6423004,20985,-3.778134487220086e-05
1658862484.7753313,21140,0.00037300330586731434
1658862484.7973335,21165,-2.461611438775435e-05
1658862485.17648,21590,0.00020867532293777913
1658862485.1874812,21600,-2.768187550827861e-05
1658862485.5085533,22005,-3.5739009035751224e-05
1658862485.9176445,22465,-4.635132063413039e-05
1658862486.0036635,22550,0.00032835864112712443
1658862486.094684,22655,-4.5336644689086825e-05
1658862486.5177803,23145,-3.091821417910978e-05
1658862486.6638317,23325,-4.544754483504221e-05
1658862486.679829,23345,-5.034438072470948e-05
1658862486.7128313,23385,-4.591191827785224e-05
1658862487.1169271,23945,-5.227793371886946e-05
1658862487.1689386,24015,-4.843771239393391e-05
1658862487.3099647,24205,0.0006606749957427382
1658862487.3539867,24265,-3.5890752769773826e-05
1658862487.5210185,24475,-4.2744992242660373e-05
1658862487.8060682,24860,-4.184640783932991e-05
1658862487.8160698,24875,-3.982366615673527e-05
1658862488.0871453,25255,-4.506564437178895e-05
1658862488.095153,25265,-0.40710678696632385
1658862488.2911775,25535,-3.802695209742524e-05
1658862488.3902001,25675,-3.420613575144671e-05
1658862488.781301,26200,-2.9373219149420038e-05
1658862489.1113622,26650,-2.996890361828264e-05
1658862489.1683815,26730,-3.203137748641893e-05
1658862489.221393,26800,-3.0186105504981242e-05
1658862489.4474514,27105,-3.2273059332510456e-05
1658862489.8085175,27590,-3.235739131923765e-05
1658862489.9235442,27750,-3.3776530472096056e-05
1658862490.3456633,28325,4.562276808428578e-05
1658862490.3996716,28400,1.5436333342222497e-05
1658862490.5616868,28620,-3.510928581818007e-05
1658862490.8787591,29045,-3.4680844692047685e-05
1658862490.9397912,29130,0.0005055152578279376
1658862490.950788,29145,-8.61365333548747e-06
1658862491.0818238,29325,-3.586350430850871e-05
1658862491.1078093,29360,-3.5410383134149015e-05
1658862491.243841,29540,-3.271360037615523e-05
1658862491.3218572,29645,-3.412134537938982e-05
1658862491.5429065,29955,5.1478880777722225e-05
1658862491.617932,30055,-3.0069426429690793e-05
1658862492.0200136,30610,-2.9714983611484058e-05
1658862492.054042,30660,-2.8959604605915956e-05
1658862492.311088,31005,-2.7846750526805408e-05
1658862492.3591104,31070,-3.150530028506182e-05
1658862492.3810976,31100,-3.155316153424792e-05
1658862492.434121,31165,-3.1733110517961904e-05
1658862492.6481626,31450,-3.102160189882852e-05
1658862492.739176,31565,-3.193955490132794e-05
1658862492.7572005,31590,-3.0386243452085182e-05
1658862492.9712439,31885,-3.2968226150842384e-05
1658862493.4933498,32605,-3.1962499633664265e-05
1658862493.6984112,32875,-3.236424890928902e-05
1658862493.8074155,33020,-2.8097698304918595e-05
1658862494.00448,33290,-2.848441363312304e-05
1658862494.1455052,33485,-3.1315459636971354e-05
1658862494.1564934,33500,-2.8800777727155946e-05
1658862494.199524,33560,-2.8893249691464007e-05
1658862494.313543,33715,-3.380108319106512e-05
1658862494.6916149,34235,-3.264286715420894e-05
1658862494.7236283,34275,-3.3726380934240296e-05
1658862494.7806478,34350,-3.512025796226226e-05
1658862495.1247232,34835,-2.0698600565083325e-05
1658862495.2217531,34965,1.2125290595577098e-05
1658862495.3037717,35075,-3.438461135374382e-05
1658862495.6378403,35535,1.5057521522976458e-06
1658862495.6688538,35575,0.00039512140210717916
1658862495.8318837,35780,-4.153024929109961e-05
1658862496.1599443,36240,-4.2400402890052646e-05
1658862496.391997,36560,-4.378992525744252e-05
1658862496.4900181,36700,-3.798551551881246e-05
1658862496.4940326,36705,-4.41399788542185e-05
1658862496.562521,36800,-4.454183726920746e-05
1658862496.6455364,36915,-4.48098435299471e-05
1658862496.7175674,37010,-4.522163362707943e-05
1658862496.905603,37255,-4.240172347635962e-05
1658862496.9416072,37305,-4.611600161297247e-05
1658862496.9526067,37320,-4.5806045818608254e-05
1658862497.0046318,37395,-4.6400709834415466e-05
1658862497.120658,37560,-4.656091914512217e-05
1658862497.7617886,38440,-3.6898250982631e-05
1658862497.7838132,38470,-3.696112253237516e-05
1658862498.0358534,38805,-3.464692417765036e-05
1658862498.134872,38945,-3.790295522776432e-05
1658862498.1698933,38995,-3.694474435178563e-05
1658862498.2999082,39170,-3.816113530774601e-05
1658862498.545984,39505,-3.814880983554758e-05
1658862498.6590095,39665,-3.9664722862653434e-05
1658862498.8740375,39960,8.047834853641689e-05
1658862498.9890707,40135,-6.905943155288696e-05
1658862499.1220932,40335,-7.076163456076756e-05
1658862499.5122058,40905,-1.5346827507019043
