Wall time,Step,Value
1658648628.1241083,11234,-5.0
1658648653.5171103,25474,-5.0
1658648656.6952965,27261,-5.0
1658648667.5157263,33688,-5.0
1658648682.871173,42596,-5.0
1658648707.1997645,56483,-5.0
1658648768.9636402,91577,-4.0
1658648772.03633,93312,-5.0
1658648783.1068165,99608,-5.0
1658648853.6256638,135219,-5.0
1658648860.0732298,138496,-4.0
1658648884.8457932,150992,-5.0
1658648900.284259,158762,-4.0
1658648906.923749,162153,-5.0
1658648946.0365305,181940,-5.0
1658648948.6701243,183269,-5.0
1658648957.1670296,187585,-5.0
1658648992.2669103,205645,-5.0
1658649014.0528016,216771,-5.0
1658649078.5102725,249594,-5.0
1658649311.2764022,250684,-9.0
1658649333.892481,262263,-5.0
1658649357.1296966,274314,-5.0
1658649373.2873237,282754,-5.0
1658649442.721919,318830,-5.0
1658649477.3256836,336482,-5.0
1658649497.1751394,346670,-5.0
1658649505.003896,350826,-5.0
1658649506.161156,351445,-4.0
1658649546.045111,372619,-5.0
1658649561.5495903,380878,-5.0
1658649569.672415,385196,-5.0
1658649575.231663,388107,-5.0
1658649577.8972619,389488,-5.0
1658649591.013208,396396,-4.0
1658649600.9304323,401576,-5.0
1658649649.5893574,427297,-5.0
1658649660.0687106,432796,-4.0
1658649669.001716,437368,-5.0
1658649702.19917,454363,-5.0
1658649713.8227797,460356,-5.0
1658649719.8261275,463427,-5.0
1658649722.195659,464629,-5.0
1658649738.993431,473264,-5.0
1658649741.593014,474553,-5.0
1658649750.446001,479029,-5.0
1658649759.3730066,483575,-5.0
1658649765.6524148,486802,-5.0
1658650058.205104,505306,-5.0
1658650182.48433,572699,-5.0
1658650200.7884402,582504,-5.0
1658650210.222559,587643,-4.0
1658650211.4698386,588317,-5.0
1658650218.3233764,592071,-5.0
1658650224.1176772,595241,-5.0
1658650243.4480164,606002,-5.0
1658650247.0858343,607949,-5.0
1658650257.1280894,613381,-5.0
1658650313.61377,643584,-5.0
1658650316.7984848,645303,-5.0
1658650323.771051,649057,-5.0
1658650330.9046526,652941,-5.0
1658650348.5206075,662826,-4.0
1658650354.628978,666292,-5.0
1658650360.073201,669312,-5.0
1658650414.572437,699499,-5.0
1658650419.731595,702387,-5.0
1658650420.8908563,703029,-5.0
1658650440.9433565,714331,-5.0
1658650454.7044475,721903,-5.0
1658650738.3668382,752983,-5.0
1658650754.8405356,762067,-5.0
1658650777.0425189,774297,-5.0
1658650816.0772834,795719,-4.0
1658650820.811347,798316,-5.0
1658650835.0935516,806168,-5.0
1658650839.2264814,808419,-5.0
1658650891.3051722,836741,-5.0
1658650898.8088572,840795,-5.0
1658650923.087308,853797,-5.0
1658650936.6663566,861030,-5.0
1658650946.8706477,866542,-5.0
1658650979.2489166,883901,-5.0
1658650991.1635916,890216,-5.0
1658651000.8627684,895397,-5.0
1658651007.3492255,898874,-5.0
1658651042.5761356,917749,-5.0
1658651077.9850829,936676,-5.0
1658651096.418224,946481,-5.0
1658651113.9321558,955896,-5.0
1658651118.1741076,958249,-4.0
1658651135.860078,967945,-5.0
1658651175.3259382,989648,-5.0
1658651446.694864,1014821,-5.0
1658651456.1669905,1019908,-5.0
1658651463.1515589,1023651,-3.0
1658651468.4667504,1026502,-5.0
1658651476.9396555,1031030,-5.0
1658651486.031696,1036000,-5.0
1658651501.3721395,1044465,-5.0
1658651504.0037296,1045909,-5.0
1658651507.4795108,1047817,-5.0
1658651517.2587066,1053249,-5.0
1658651557.2596865,1075275,-5.0
1658651585.7780907,1090926,-5.0
1658651608.7252426,1103731,-5.0
1658651628.9977937,1114821,-5.0
1658651638.9570315,1120169,-5.0
1658651653.977402,1128192,-4.0
1658651656.9020581,1129748,-5.0
1658651666.5992358,1134963,-5.0
1658651711.6973631,1159324,-5.0
1658651729.9084501,1169046,-5.0
1658651741.2659984,1175130,-5.0
1658651744.4467142,1176836,-5.0
1658651768.7651727,1189781,-4.0
1658651787.016271,1199554,-5.0
