Wall time,Step,Value
1658648643.1894913,19948,-0.03125
1658648657.8905659,27972,-0.09375
1658648738.778864,74468,-0.03125
1658648799.6535306,108912,-0.09375
1658648890.4320464,153816,-0.125
1658648904.762264,161060,-0.0625
1658648972.8475504,195656,0.0
1658649069.5702655,244988,0.0
1658649345.1420047,268088,-0.15625
1658649517.4196873,357464,-0.125
1658649521.4415867,359576,-0.09375
1658649631.6043208,417776,-0.09375
1658649676.6004224,441352,-0.09375
1658649704.023578,455296,-0.0625
1658649736.6459029,472076,0.0
1658649757.7556405,482764,-0.03125
1658649781.1799083,494772,-0.0625
1658650135.7558396,547560,-0.0625
1658650199.0600512,581572,0.0
1658650226.8812985,596788,-0.15625
1658650256.5039482,613036,-0.125
1658650307.8244712,640496,-0.0625
1658650345.5409384,661160,-0.125
1658650377.395089,678940,0.0
1658650409.4212806,696680,-0.09375
1658650418.868402,701892,0.0
1658650419.713592,702376,-0.125
1658650422.9983282,704228,-0.03125
1658650459.8185956,724808,-0.09375
1658650492.8290076,743088,-0.125
1658650818.2567737,796908,-0.0625
1658650915.8776896,849956,-0.0625
1658650960.354674,873816,-0.0625
1658650987.0956788,888060,-0.0625
1658651038.2791696,915384,-0.03125
1658651060.1300766,927164,-0.0625
1658651134.7788346,967356,-0.0625
1658651151.4185712,976520,-0.0625
1658651156.5827308,979368,-0.09375
1658651183.65681,994204,-0.03125
1658651429.8610864,1005844,-0.0625
1658651444.178299,1013480,-0.03125
1658651463.3546042,1023760,-0.03125
1658651489.2524202,1037784,-0.09375
1658651529.522459,1060052,-0.03125
1658651530.154602,1060396,-0.125
1658651590.3341136,1093448,-0.0625
1658651591.723425,1094212,0.0
1658651650.239562,1126196,-0.0625
1658651772.2459538,1191636,-0.09375
1658651773.4932349,1192296,-0.0625
1658651802.4207296,1207944,-0.125
1658651873.421671,1246040,-0.09375
1658652192.0141957,1289768,-0.09375
1658652289.0609858,1343032,-0.0625
1658652479.6857836,1449164,-0.03125
1658652513.3013282,1467340,-0.0625
1658652542.7059307,1483268,0.0
1658652961.7440102,1592428,-0.09375
1658652976.0432208,1600044,-0.0625
1658652995.988699,1610796,-0.15625
1658653036.8328688,1633392,-0.0625
1658653082.2190602,1658308,-0.03125
1658653111.5116358,1674424,-0.0625
1658653133.9036636,1686752,0.0
1658653158.0898354,1700028,-0.03125
1658653181.3420553,1712476,-0.0625
1658653192.13648,1718228,-0.03125
1658653214.9991455,1730528,-0.03125
1658653229.2693408,1738292,-0.0625
1658653511.4646957,1780548,-0.03125
1658653514.345344,1782220,-0.0625
1658653557.0319347,1805992,0.0
1658653606.2789853,1832704,0.0
1658653626.7075794,1843800,-0.0625
1658653640.810751,1851468,-0.03125
1658653662.7906742,1863336,-0.03125
1658653728.0453227,1898644,-0.03125
1658653731.6631424,1900596,-0.03125
1658653752.472806,1911928,-0.125
1658653762.985167,1917592,-0.09375
1658653764.689551,1918532,-0.03125
1658653778.5616634,1926160,-0.0625
1658653779.4528637,1926652,-0.03125
1658653819.330816,1949880,-0.03125
1658653830.0182152,1956108,-0.0625
1658654113.2328017,2006476,-0.03125
1658654190.0410442,2049076,-0.0625
1658654204.1092043,2057236,-0.0625
1658654253.7253425,2086032,-0.03125
1658654333.328215,2132128,0.0
1658654342.4842706,2137300,-0.09375
1658654401.0354164,2169744,0.0
1658654413.3481839,2176592,-0.09375
1658654469.6338165,2207856,-0.0625
1658654471.5672507,2208916,-0.0625
1658654524.0070388,2237732,0.0
1658654524.7581947,2238136,0.0
1658654792.6923468,2268224,0.0
1658654795.5059795,2269756,-0.0625
1658654939.8613899,2348808,-0.125
1658654954.2936296,2357136,0.0
1658654974.6702032,2369020,-0.0625
1658655001.0811338,2384408,-0.0625
1658655091.7664926,2437196,0.0
1658655149.1933854,2469668,0.0
1658655438.1562617,2508392,-0.03125
1658655494.6299407,2540772,-0.0625
1658655588.7210648,2591840,-0.0625
1658655594.6123893,2595016,-0.03125
1658655615.4860754,2606240,0.0
1658655626.9306436,2612496,-0.0625
1658655636.7958617,2617864,0.0
1658655649.5897312,2624748,-0.03125
1658655690.2568622,2646688,-0.03125
1658655748.3349004,2679280,0.0
1658655755.9886189,2683732,-0.03125
1658655845.4557052,2735648,0.0
1658656096.6330988,2762772,-0.03125
1658656125.06348,2779140,-0.0625
1658656140.6189742,2788156,0.0
1658656143.0905287,2789588,-0.15625
1658656165.8966486,2802744,-0.03125
1658656230.7542098,2840456,-0.03125
1658656245.3794956,2848824,0.0
1658656312.6605997,2885860,-0.03125
1658656319.9712393,2889896,-0.15625
1658656382.722328,2924376,-0.03125
1658656407.543876,2938128,0.0
1658656443.6529844,2958204,-0.09375
1658656490.9936118,2984532,-0.0625
1658656501.1818988,2990116,-0.03125
1658656723.220749,3004616,0.0
1658656782.233998,3036836,0.0
1658656789.1635537,3040672,-0.0625
1658656816.1356108,3055652,-0.03125
1658656830.6538696,3063676,-0.125
1658656888.2237945,3095260,-0.09375
1658656953.8845348,3133436,0.0
1658657135.626339,3234712,-0.03125
1658657410.6850934,3253412,-0.03125
1658657426.4266274,3262204,0.0
1658657470.9356275,3286256,-0.03125
1658657548.9771492,3328280,-0.03125
1658657555.6546412,3331864,0.0
1658657695.0449355,3409176,-0.03125
1658657766.6050017,3450840,0.0
1658657774.3957503,3455376,-0.0625
1658657827.4476633,3485488,-0.03125
1658658081.6647365,3513388,-0.03125
1658658094.103529,3520584,-0.0625
1658658121.0725837,3536292,-0.03125
1658658133.9744794,3543748,-0.03125
1658658146.346257,3550932,-0.03125
1658658150.9082813,3553576,-0.03125
1658658157.8048303,3557588,-0.09375
1658658203.5360973,3583864,0.0
1658658209.4034224,3587056,0.0
1658658217.2761824,3591380,-0.03125
1658658346.5812125,3662800,-0.03125
1658658354.8910782,3667492,-0.0625
1658658413.0361333,3699744,-0.03125
1658658416.191841,3701476,-0.03125
1658658465.3638802,3729108,-0.03125
1658658771.35759,3790752,0.0
1658658800.585142,3806904,0.0
1658658846.7775137,3832580,-0.03125
1658658965.3341298,3901952,0.0
1658659014.7422242,3929712,-0.0625
