Wall time,Step,Value
1658871854.9758587,1168,-0.10625000298023224
1658871855.6620133,1475,-0.06562500447034836
1658871855.8030446,1537,-0.10000000149011612
1658871855.9080691,1587,-0.10625000298023224
1658871858.4746447,2437,-0.10000000149011612
1658871859.1587987,2738,-0.4156250059604645
1658871860.5191052,3308,-0.10000000149011612
1658871860.715147,3390,-0.41562503576278687
1658871860.968204,3487,-0.10000000149011612
1658871862.8926342,4247,-0.10000000149011612
1658871865.7772825,5493,-0.10000000149011612
1658871867.1986024,6135,-0.421875
1658871868.883982,6908,-0.7249999642372131
1658871870.7103908,7712,-0.10625000298023224
1658871871.2995234,7967,-0.10000000149011612
1658871872.43083,8464,-0.10000000149011612
1658871873.2170074,8799,-0.11249999701976776
1658871876.4974267,10261,-0.10625000298023224
1658871876.9345253,10469,-0.10000000149011612
1658871878.9399745,11400,-0.41562503576278687
1658871880.0742302,11906,-0.4156250059604645
1658871880.191255,11967,-0.41562503576278687
1658871881.4940789,12533,-0.10625000298023224
1658871882.457297,12970,-0.7250000238418579
1658871887.6355567,15295,-0.40937504172325134
1658871888.4307337,15669,-0.10625000298023224
1658871888.6737907,15780,-0.10625000298023224
1658871891.3923995,17117,-0.4156250059604645
1658871892.8627295,17858,-0.06562500447034836
1658871894.236039,18544,-0.10000000149011612
1658871898.4329817,20641,-0.10625000298023224
1658871899.2701688,21063,-0.10625000298023224
1658871900.2243829,21540,-0.4218750298023224
1658871900.297399,21579,-0.10625000298023224
1658871900.8505218,21856,-0.40937501192092896
1658871901.431652,22145,-0.40937501192092896
1658871901.788733,22320,-0.40937501192092896
1658871903.8351936,23331,-0.41562503576278687
1658871905.734619,24287,-0.11249999701976776
1658871905.8876553,24362,-0.7250000238418579
1658871906.5027936,24671,-0.40937501192092896
1658871906.5698073,24702,-0.07187500596046448
1658871907.4510057,25148,-0.7187500596046448
1658871907.8010833,25323,-0.40937501192092896
1658871908.6122644,25728,-0.10000000149011612
1658871909.6585011,26254,-0.10625000298023224
1658871917.0531626,29971,-0.10625000298023224
1658871917.1011722,29997,-0.40937501192092896
1658871918.770547,30830,-1.3375000953674316
1658871920.359902,31613,-0.10000000149011612
1658871920.5449522,31707,-0.10000000149011612
1658871922.0102727,32444,-0.10000000149011612
1658871922.9914925,32937,-0.10000000149011612
1658871923.984716,33436,-0.40937504172325134
1658871925.462049,34182,-0.10000000149011612
1658871926.5963042,34750,-0.10625000298023224
1658871926.6623173,34786,-0.7187500596046448
1658871926.7733424,34840,-0.10625000298023224
1658871926.8433588,34877,-0.10000000149011612
1658871928.1446497,35526,-0.41562503576278687
1658871930.9932892,36954,-0.40937501192092896
1658871932.3345907,37630,-0.10625000298023224
1658871932.390603,37660,-0.10625000298023224
1658871934.0359733,38490,-0.421875
1658871934.5830956,38765,-0.10625000298023224
1658871934.8091462,38877,-0.11249999701976776
1658871936.512531,39721,-0.40937504172325134
1658871936.7515843,39841,-0.10000000149011612
1658871937.650784,40297,-0.40937504172325134
1658871938.4829721,40703,-0.40937501192092896
1658871940.6414557,41794,-0.10000000149011612
1658871941.6066718,42272,-0.7250000238418579
1658871944.0002093,43469,-0.4156250059604645
1658871946.4337556,44640,-0.40937501192092896
1658871946.5857916,44712,-0.40937504172325134
1658871947.22294,44994,-0.7312500476837158
1658871947.6730385,45201,-0.10625000298023224
1658871947.7740571,45252,-0.40937504172325134
1658871949.2473888,45965,-0.4156250059604645
1658871950.0925784,46373,-0.10000000149011612
1658871952.0830238,47335,-0.10000000149011612
1658871952.2500618,47414,-0.40937501192092896
1658871954.9616728,48745,-0.10625000298023224
1658871955.427777,48971,-0.10625000298023224
1658871955.8628736,49182,-0.10000000149011612
1658871958.1013772,50273,-0.41562506556510925
1658871959.6807299,51057,-0.10625000298023224
1658871961.2050729,51820,-0.10000000149011612
