Wall time,Step,Value
1658763068.0277965,3062,-5.0
1658763072.65826,10466,-5.0
1658763074.802802,14182,-5.0
1658763080.6606526,24348,-5.0
1658763081.5892377,25656,-5.0
1658763082.7981985,27914,-5.0
1658763083.3560205,29084,-5.0
1658763085.27116,32647,-5.0
1658763086.6741614,34945,-5.0
1658763091.6958199,44146,-5.0
1658763092.8977537,46165,-5.0
1658763094.9573202,49934,-5.0
1658763098.1375601,55006,-5.0
1658763100.6398754,59126,-5.0
1658763103.4445596,63919,-5.0
1658763104.414464,65453,-5.0
1658763105.0366035,66111,-3.0
1658763107.6405492,70483,-5.0
1658763113.381574,79412,-5.0
1658763118.0911672,87139,-5.0
1658763122.4343565,93758,-5.0
1658763124.1124344,96566,-5.0
1658763125.2640562,98367,-5.0
1658763128.5331736,104186,-5.0
1658763128.8172371,104734,-5.0
1658763132.3788218,110989,-4.0
1658763134.137286,113697,-5.0
1658763135.0891998,115230,-5.0
1658763135.419275,115903,-5.0
1658763136.8221195,118180,-5.0
1658763139.9245746,123209,-5.0
1658763142.9726539,128186,-5.0
1658763143.2617188,128795,-5.0
1658763144.7674208,131353,-5.0
1658763148.8540294,137747,-5.0
1658763150.6038275,141136,-5.0
1658763152.2405615,143965,-5.0
1658763153.3768167,146349,-4.0
1658763157.8736641,154307,-5.0
1658763159.7864852,158007,-5.0
1658763161.7692614,161723,-5.0
1658763164.334916,166176,-5.0
1658763165.952957,168997,-5.0
1658763166.4960787,170165,-4.0
1658763172.3695164,180756,-5.0
1658763174.3159966,184459,-5.0
1658763174.5870574,185104,-5.0
1658763176.7879243,188983,-5.0
1658763178.4709797,192029,-5.0
1658763179.0531106,193395,-4.0
1658763182.339564,199388,-5.0
1658763182.6126254,199865,-5.0
1658763185.4228282,204402,-5.0
1658763186.5144403,206347,-5.0
1658763189.2601082,211954,-5.0
1658763192.0214627,217042,-5.0
1658763197.2770674,226456,-5.0
1658763198.6790698,229055,-5.0
1658763202.2450159,235627,-5.0
1658763202.8518445,236982,-5.0
1658764458.7471879,264432,-4.0
1658764459.0102468,265172,-5.0
