Wall time,Step,Value
1658763072.1161263,9728,-0.8452354669570923
1658763079.3266652,22016,-0.39728790521621704
1658763080.1395357,23552,-0.615699052810669
1658763087.509349,36864,-0.6509186029434204
1658763094.135753,48640,-0.6436326503753662
1658763113.3885756,79872,-0.8514219522476196
1658763114.3741453,81408,-0.6704903244972229
1658763117.1382632,86016,-0.8818973302841187
1658763136.4358795,117760,-0.7883943319320679
1658763138.185121,120320,-0.7617446184158325
1658763144.4993606,131072,-0.7887309789657593
1658763148.30322,137216,-0.6155185103416443
1658763150.0636938,140288,-0.8400750160217285
1658763159.7934868,158208,-0.6977078914642334
1658763160.3472936,159232,-0.4341593384742737
1658763162.681466,163328,-0.638798177242279
1658763170.7137678,178176,-0.699069619178772
1658763176.2501001,188416,-0.5342099666595459
1658763191.4886594,216064,-0.771910548210144
1658763202.2520177,236032,-0.7293704152107239
1658763206.1526413,243200,-0.7121068239212036
1658764464.6720488,274944,-0.7900562882423401
1658764473.3563166,288768,-0.7754391431808472
1658764478.478637,296960,-0.779239296913147
1658764480.5718849,300544,-0.6379057168960571
1658764480.8469462,301056,-0.8249813318252563
1658764490.819384,317952,-0.6262805461883545
1658764495.0200768,325120,-0.9233677387237549
1658764499.1954372,331776,-0.580049991607666
1658764503.6944957,338944,-0.4825139045715332
1658764506.9709926,344064,-0.6694402694702148
1658764520.227963,366080,-0.3970438241958618
1658764522.6018643,370176,-0.7464689016342163
1658764525.0854697,374272,-0.8264635801315308
1658764535.79375,392192,-0.7017353177070618
1658764537.021026,394240,-0.49443280696868896
1658764537.6685336,395264,-0.801943838596344
1658764541.9349115,402432,-0.5878298878669739
1658764542.5447576,403456,-0.7381247282028198
1658764544.7769377,407040,-0.7861253023147583
1658764547.3729029,411136,-0.6517657041549683
1658764549.2697077,414208,-0.5967832803726196
1658764557.9688847,428544,-0.4552071988582611
1658764591.7271092,484352,-0.5873885154724121
1658764599.6013782,497664,-0.8310124278068542
1658764599.8881207,498176,-0.6011487245559692
1658764970.7166803,501248,-0.6434311866760254
1658764973.0251954,504320,-0.7236523032188416
1658764978.833597,513536,-0.7850592136383057
1658764979.7744906,515072,-0.7016786336898804
1658764982.4835243,519680,-0.6134218573570251
1658764997.572444,544768,-0.47732049226760864
1658764998.47233,546304,-0.7771937251091003
1658765000.2560854,549376,-0.8756709098815918
1658765002.1403303,552448,-0.6948957443237305
1658765007.099179,560128,-0.5111196637153625
1658765009.0319824,563200,-0.7258630394935608
1658765010.5650094,565760,-0.7789681553840637
1658765026.8636572,592384,-0.7034251689910889
1658765028.4737263,594944,-0.6289703845977783
1658765028.7657917,595456,-0.7129908204078674
1658765034.4801786,604672,-0.7534688711166382
1658765038.721291,611328,-0.6737583875656128
1658765054.6625497,637440,-0.5849249362945557
1658765060.1963112,646144,-0.6948412656784058
1658765077.9487581,674304,-0.5297751426696777
1658765078.8972867,675840,-0.45641517639160156
1658765083.3394082,683008,-0.7099571228027344
1658765084.6453848,685056,-0.74500572681427
1658765099.7119336,709632,-0.6480532884597778
1658765101.8454885,713216,-0.5431443452835083
1658765108.5538917,724480,-0.47312575578689575
1658765112.295499,730624,-0.6838949918746948
1658765115.6442916,735744,-0.7660417556762695
1658765498.752337,751104,-0.6163510084152222
1658765502.3765585,756736,-0.364152729511261
1658765504.8275225,760832,-0.7633863687515259
1658765506.6603007,763904,-0.5712581276893616
1658765516.3932867,780288,-0.6356756687164307
1658765525.4582703,795136,-0.5835686326026917
1658765530.2337725,803328,-0.41546112298965454
1658765534.9916134,811520,-0.43518978357315063
1658765536.358603,813568,-0.6508550643920898
1658765542.0677004,822272,-0.5464410185813904
1658765553.3737965,840192,-0.47095659375190735
1658765566.1759868,861696,-0.563749372959137
1658765568.8909674,866304,-0.6131159067153931
1658765572.2744813,871936,-0.6440730094909668
1658765574.4163342,875520,-0.723340630531311
1658765577.0989745,880128,-0.7388342618942261
1658765581.3907611,887296,-0.7514565587043762
1658765581.9658997,888320,-0.8044902086257935
1658765582.9307861,889856,-0.7734774947166443
1658765596.5978367,912384,-0.641616940498352
1658765610.6082382,935424,-0.4887244999408722
1658765616.2142239,944640,-0.6283935904502869
