Wall time,Step,Value
1658871610.6445642,7189,0.09999998658895493
1658871612.2129176,11252,-0.10000001639127731
1658871612.7200305,11818,0.5
1658871612.7220309,12247,0.09999998658895493
1658871619.916646,24847,0.5
1658871626.203057,36965,0.5
1658871627.8154194,40817,0.5
1658871633.9537995,50279,0.5
1658871636.9344683,54791,0.5
1658871645.325109,65573,0.5
1658871645.9382484,66821,0.5
1658871650.8142703,75809,0.5
1658871653.4578664,81827,0.5
1658871665.151491,106709,0.5
1658871674.7586467,127853,0.5
1658871676.305994,130385,0.5
1658871677.7043087,133247,0.5
1658871677.7053084,133481,0.5
1658871678.1674116,135143,0.5
1658871682.455631,143993,0.5
1658871686.0724275,152219,0.5
1658871687.3897228,154895,0.5
1658871688.80205,158375,0.5
1658871690.021311,161531,0.5
1658871704.2905211,193685,0.5
1658871704.2955317,194249,0.5
1658871707.9579508,201629,0.5
1658871709.3212683,204623,0.5
1658871711.6168215,209099,0.5
1658871713.2007623,212723,0.5
1658871719.3703742,225731,0.5
1658871721.1307743,229787,0.5
1658871721.1327777,229967,0.5
1658871724.3775184,236597,0.5
1658871724.3825047,237269,0.5
1658871726.4819763,242333,0.5
1658871726.9471004,243053,0.5
1658871736.3842084,257643,0.5
1658871743.9789221,271851,0.5
1658871744.9701297,273975,0.5
1658871745.5282755,275217,0.5
1658871754.752353,282249,0.5
1658871866.6514807,288495,0.5
1658871871.4356081,296481,0.5
1658871873.2820213,299103,0.5
1658871888.377722,327453,0.5
1658871897.3947477,349143,0.5
1658871902.9409924,362493,0.5
1658871906.7928572,371091,0.5
1658871907.6310437,372867,0.5
1658871911.4639058,382851,0.5
1658871917.3822336,397143,0.5
1658871920.4099138,403875,0.5
1658871923.3495731,410739,0.5
1658871923.7776704,412143,0.5
1658871924.6248605,414657,0.5
1658871932.621655,433953,0.5
1658871934.724127,438585,0.5
1658871936.0134175,441759,0.5
1658871938.570991,448071,0.5
1658871952.408097,479265,0.5
1658871957.7673001,492357,0.5
1658871958.6024897,493695,0.5
1658871970.8122303,517627,0.5
1658871972.0745118,520555,0.5
1658871976.3024626,530701,0.5
1658871976.3054628,531211,0.5
1658871976.7265563,532069,0.5
1658871977.5737486,534379,0.5
1658871979.6942239,538843,0.5
1658871982.7239044,546103,0.5
1658871982.7239044,546199,0.5
1658871983.9981906,549859,0.5
1658871984.8443792,551443,0.5
1658871988.2331412,559903,0.5
1658871989.4934235,562741,0.5
1658871993.7413769,573427,0.5
1658871997.5582342,582283,0.5
1658871998.010335,582901,0.5
1658872000.2978494,587827,0.5
1658872006.398219,600865,0.5
1658872010.3120978,609325,0.5
1658872012.5205934,615169,0.5
1658872015.577282,621679,0.5
1658872018.3979142,628027,0.5
1658872022.731886,636025,0.5
1658872024.687986,639397,0.5
1658872027.757591,644665,0.5
1658872034.8811896,657043,0.5
1658872038.6290257,661537,0.5
1658872047.8637805,677959,0.5
1658872049.1157966,680209,0.5
1658872054.3496134,687433,0.5
1658872062.4759667,700597,0.5
1658872063.5482197,703129,0.5
1658872068.4432857,712303,0.5
1658872070.6396046,715831,0.5
1658872072.3139825,719161,0.5
1658872081.8371196,737173,0.5
1658872082.29222,738013,0.5
1658872082.9233642,738439,0.5
1658872083.9886029,741031,0.5
1658872112.0139008,790451,0.5
1658872116.3758814,800105,0.5
1658872116.8069782,801281,0.5
1658872123.779542,816281,0.5
1658872123.7805438,816359,0.5
1658872123.7845452,816869,0.5
1658872131.398866,830063,0.5
1658872131.398866,830093,0.5
1658872139.2264426,846443,0.5
1658872139.2284417,846719,0.5
1658872140.6990452,849875,0.5
1658872141.1881561,850355,0.5
1658872143.1377597,854525,0.5
1658872143.6388788,855959,0.5
1658872144.6010997,857357,0.5
1658872149.3956501,867377,0.5
1658872152.7933824,875381,0.5
1658872153.2940502,875735,0.5
1658872160.080303,890201,0.5
1658872165.3938625,902063,0.5
1658872171.5744483,914573,0.5
1658872171.5784495,915203,0.5
1658872172.063559,916277,0.5
1658872173.038278,917681,0.5
1658872176.8663476,926621,0.5
1658872188.3565416,949937,0.5
1658872189.7753718,952805,0.5
1658872191.1968343,955763,0.5
1658872198.386056,971537,0.5
1658872205.8639865,986759,0.5
1658872207.7412095,989801,0.5
1658872212.4310937,997757,0.5
1658872218.4246585,1002807,0.5
1658872218.845581,1003611,0.5
1658872219.331691,1004829,0.5
1658872222.8543475,1013433,0.5
1658872223.2774456,1014405,0.5
1658872230.2012234,1029807,0.5
1658872230.9302208,1031157,0.5
1658872235.6564658,1040043,0.5
1658872239.9973488,1047861,0.5
1658872240.5563178,1048587,0.5
1658872241.47253,1051365,0.5
1658872245.4295614,1057911,0.5
1658872254.4714522,1076691,0.5
1658872256.7713628,1081995,0.5
1658872256.7743628,1082235,0.5
1658872258.4378207,1085205,0.5
1658872263.9979603,1096323,0.5
1658872263.999961,1096677,0.5
1658872267.345952,1102551,0.5
1658872270.1288035,1107723,0.5
1658872271.0415068,1109655,0.5
1658872272.0410144,1111617,0.5
