Wall time,Step,Value
1658871609.686351,6144,1.2474448680877686
1658871616.6729198,19456,0.14632439613342285
1658871619.9286492,25600,0.006219814531505108
1658871628.6306047,41984,4.4506759877549484e-07
1658871630.0369194,44032,-2.702652182051679e-07
1658871631.698292,47104,-5.68288442082121e-07
1658871636.9474711,55296,-4.48986781975691e-07
1658871639.6050735,58368,1.4705966577821528e-07
1658871649.1178904,73728,2.066643105536059e-07
1658871650.8282745,76800,-8.066146506280347e-07
1658871660.6384773,97280,2.0664901967393234e-07
1658871664.2042782,105472,-2.702652182051679e-07
1658871666.1257112,109568,-2.1058349375380203e-07
1658871675.8658957,130048,2.7758007448142052e-08
1658871682.0025098,143360,5.642768883262761e-07
1658871689.2571397,159744,8.623154030829028e-07
1658871690.424404,162816,2.066643105536059e-07
1658871694.4873323,172032,2.066643105536059e-07
1658871699.6284738,183296,-2.1058349375380203e-07
1658871701.6879435,188416,2.661765847733477e-07
1658871702.477106,190464,-9.135890621791987e-08
1658871704.8676565,195584,8.74397301231511e-08
1658871723.421304,235520,-8.662345862830989e-07
1658871725.5577688,240640,-6.278930868575117e-07
1658871735.3729744,256000,2.2156547174745356e-07
1658871738.387649,262144,1.2098263368898188e-07
1658871741.1322672,267264,9.489031072007492e-08
1658871744.983136,274432,1.2098263368898188e-07
1658871753.7401187,280576,1.2098263368898188e-07
1658871873.2990274,300032,-5.769605238015174e-09
1658871882.483302,316416,9.489031072007492e-08
1658871883.3996825,318464,-5.769605238015174e-09
1658871887.878611,326656,1.2098263368898188e-07
1658871893.1848016,338944,1.2098263368898188e-07
1658871896.977652,348160,1.2098263368898188e-07
1658871900.3724153,356352,9.489031072007492e-08
1658871907.2239542,372736,1.2098263368898188e-07
1658871908.9083326,376832,-5.769605238015174e-09
1658871931.7894695,432128,-1.1357540685708045e-08
1658871932.2075646,433152,1.7684669728623703e-07
1658871939.4181824,450560,-7.655012268514838e-08
1658871940.674465,453632,-1.6945476133400916e-08
1658871941.9397483,456704,-2.4396056730324744e-08
1658871948.836298,472064,-5.980907644698163e-07
1658871950.1835995,475136,-5.769605238015174e-09
1658871950.6337004,476160,2.4109798602012233e-08
1658871955.0736964,486400,2.662689553289965e-07
1658871964.9109051,503808,-3.2986986298055854e-07
1658871965.7680984,505856,8.745502810825201e-08
1658871974.6260867,527360,3.854782448797778e-07
1658871981.835706,544768,8.026954674278386e-07
1658871984.004192,549888,-2.04431493955326e-09
1658871995.4487627,577536,3.8538587432412896e-07
1658871999.8717544,587776,-1.817124939407222e-07
1658872003.0154617,593920,2.513525032554753e-07
1658872004.0056827,595968,-5.4198380894376896e-08
1658872006.4062214,601088,5.642921792059497e-07
1658872006.8273177,602112,-2.5536405701132026e-07
1658872013.3947916,617472,2.661765847733477e-07
1658872022.1597583,635904,1.1786346476583276e-07
1658872023.4477098,637952,-5.383937491387769e-07
1658872030.721271,650240,5.642921792059497e-07
1658872034.8901937,657408,-1.0635244507284369e-07
1658872035.3773034,658432,-2.7018813852919266e-07
1658872036.4755502,660480,1.3951671462564263e-07
1658872039.1271355,663552,-2.0693528313131537e-07
1658872040.216892,665600,5.04687534430559e-07
1658872047.4054816,677888,-1.104637817661569e-06
1658872054.3606167,688128,-5.980907644698163e-07
1658872061.9918573,700416,-1.6945476133400916e-08
1658872064.5458887,705536,-6.155658383022455e-08
1658872079.2495375,732160,1.4704437489854172e-07
1658872081.3840177,736256,3.854782448797778e-07
1658872083.5014942,740352,7.246148925332818e-08
1658872083.9976046,741376,-3.549484617337839e-08
1658872087.7704535,748544,-9.135890621791987e-08
1658872095.5742126,757760,1.4704437489854172e-07
1658872097.689689,761856,-1.8076588048643316e-07
1658872099.8961816,765952,8.736265044717584e-08
1658872102.6688044,771072,3.2587360010438715e-07
1658872104.944316,775168,-3.184663910360541e-08
1658872109.3052943,784384,-2.106605734297773e-07
1658872111.147708,788480,-2.4038581614149734e-07
1658872112.0199037,790528,3.8538587432412896e-07
1658872112.8790965,792576,-2.701728476495191e-07
1658872115.9597893,799744,-3.184663910360541e-08
1658872118.154281,804864,-2.1056820287412847e-07
1658872119.0314777,806912,1.7684669728623703e-07
1658872121.3519998,812032,-5.384861196944257e-07
1658872122.2412007,814080,-2.701728476495191e-07
1658872124.3956807,818176,8.736265044717584e-08
1658872127.0169134,822272,-1.686839468106882e-08
1658872130.4573195,828416,3.854629540001042e-07
