mean 100 episode reward,% time spent exploring,steps,episodes
-4.8,70,60706,100
-4.9,41,118833,200
-4.8,11,180083,300
-4.9,2,238732,400
-4.9,2,299335,500
-4.9,2,356237,600
-4.8,2,415993,700
-4.8,2,473460,800
-4.9,2,533056,900
-4.9,2,592648,1000
-4.8,2,650875,1100
-4.9,2,711387,1200
-4.8,2,771394,1300
-4.9,2,834980,1400
-4.8,2,894432,1500
-4.9,2,953035,1600
-4.9,2,1010604,1700
-4.9,2,1068599,1800
-4.9,2,1128110,1900
-4.9,2,1185855,2000
-4.9,2,1243004,2100
-4.8,2,1302579,2200
-4.9,2,1361081,2300
-4.8,2,1418846,2400
-4.8,2,1478453,2500
-4.9,2,1537816,2600
-4.8,2,1599704,2700
-4.8,2,1659845,2800
-4.8,2,1719319,2900
-4.9,2,1777629,3000
-4.9,2,1838419,3100
-4.9,2,1899149,3200
-4.9,2,1957383,3300
