TimestepsSoFar,EpisodesSoFar,loss_ent,TimeElapsed,loss_pol_surr,EpThisIter,EpLenMean,loss_kl,EpRewMean,loss_vf_loss,ev_tdlam_before,loss_pol_entpen
4096,6,2.0708854,3.639618158340454,-0.013039921,6,645.0,0.008639733,-0.3333333333333333,0.035534155,-0.09036040306091309,0.0
8192,13,2.0626824,7.176748991012573,-0.008411147,7,627.1538461538462,0.0067149675,-0.23076923076923078,0.022329982,0.7237653732299805,0.0
12288,19,2.0590096,10.59414792060852,-0.009852691,6,634.6315789473684,0.007078239,0.10526315789473684,0.026826253,0.8640066236257553,0.0
16384,25,2.044998,14.055768013000488,-0.01366448,6,642.12,0.008694348,-0.4,0.017851183,0.8907948583364487,0.0
20480,31,2.033802,17.564602851867676,-0.010484192,6,649.8064516129032,0.008531627,-0.3225806451612903,0.02097675,0.8989614918828011,0.0
24576,38,2.0334055,20.711736917495728,-0.012064957,7,644.7105263157895,0.006548288,-0.2631578947368421,0.021359641,0.9227097481489182,0.0
28672,44,2.0165346,24.352622985839844,-0.011510536,6,650.5227272727273,0.0069567813,-0.25,0.026690956,0.9059147536754608,0.0
32768,50,2.005676,27.35948395729065,-0.010294508,6,649.42,0.0069702715,-0.3,0.030526314,0.8794719725847244,0.0
36864,56,2.0087438,30.5935480594635,-0.010369638,6,653.0,0.0058978787,-0.03571428571428571,0.025373904,0.8958769291639328,0.0
40960,62,1.9989604,34.17249321937561,-0.013244772,6,656.9032258064516,0.008273519,-0.03225806451612903,0.027527869,0.8810747638344765,0.0
45056,69,1.9781653,37.544901847839355,-0.016717063,7,651.7536231884058,0.00822558,-0.08695652173913043,0.020796893,0.9190322682261467,0.0
49152,74,1.9708145,41.204062938690186,-0.012189823,5,654.8108108108108,0.0060277935,-0.05405405405405406,0.027093614,0.9115881472826004,0.0
53248,81,1.9506404,44.68466806411743,-0.012692088,7,649.5555555555555,0.0076366495,-0.012345679012345678,0.029514339,0.9068001434206963,0.0
57344,87,1.91829,48.013405084609985,-0.013957657,6,653.2758620689655,0.0083793895,-0.10344827586206896,0.027908055,0.8959854617714882,0.0
61440,94,1.9005406,51.38220000267029,-0.014234665,7,650.4574468085107,0.00593304,0.06382978723404255,0.022989236,0.9012109711766243,0.0
65536,101,1.894649,54.68518614768982,-0.014543644,7,645.47,0.0072615077,0.05,0.022077393,0.9291455000638962,0.0
69632,108,1.8657085,58.23531699180603,-0.013898259,7,642.96,0.0073478296,-0.11,0.01896709,0.9314626902341843,0.0
73728,114,1.894837,62.0389142036438,-0.012427999,6,643.46,0.006954002,-0.05,0.030690923,0.9020508974790573,0.0
77824,120,1.8911947,65.36712980270386,-0.015689721,6,647.87,0.006822472,-0.07,0.02445696,0.9249686300754547,0.0
81920,127,1.8811682,68.82686281204224,-0.0129553955,7,642.32,0.0058626016,0.05,0.022550704,0.9347181916236877,0.0
86016,134,1.863859,72.52250695228577,-0.01803671,7,640.32,0.008193518,0.03,0.023340184,0.9195987731218338,0.0
90112,140,1.8709849,76.06030297279358,-0.013598915,6,640.8,0.0062351837,0.01,0.01935912,0.932832196354866,0.0
94208,146,1.8710275,80.0798659324646,-0.014109982,6,639.88,0.008057907,0.03,0.028151186,0.9016937762498856,0.0
98304,153,1.8962184,84.52290201187134,-0.012971838,7,636.29,0.007228599,-0.08,0.026676387,0.8914332166314125,0.0
102400,158,1.895114,125.64320993423462,-0.012085608,5,644.7,0.0072095315,-0.16,0.025945693,0.9298257380723953,0.0
106496,164,1.8872819,130.5446798801422,-0.01437947,6,640.95,0.0070129856,-0.16,0.03213902,0.9070412591099739,0.0
110592,170,1.8671165,135.61365008354187,-0.011945282,6,644.85,0.007707074,-0.1,0.02567021,0.9020414501428604,0.0
114688,176,1.8527659,140.73109793663025,-0.01242283,6,645.03,0.005979073,-0.13,0.025344424,0.9316800907254219,0.0
118784,183,1.8374808,145.60762286186218,-0.013088621,7,648.86,0.0075820726,-0.09,0.024459545,0.917769618332386,0.0
122880,189,1.8390656,150.72218084335327,-0.012934208,6,643.31,0.006716491,0.08,0.024230864,0.9307954534888268,0.0
126976,195,1.8135226,155.69872117042542,-0.016320782,6,648.92,0.009108475,-0.03,0.025771573,0.9253024756908417,0.0
131072,203,1.8074105,160.47346687316895,-0.0124812145,8,643.17,0.0065413527,-0.2,0.023320232,0.9417054131627083,0.0
135168,209,1.8159354,165.0433909893036,-0.014947672,6,648.9,0.008001302,-0.1,0.024022741,0.91441460698843,0.0
139264,216,1.8222516,169.81375789642334,-0.013624214,7,645.86,0.007373583,-0.16,0.028447071,0.9186456054449081,0.0
143360,222,1.8089079,174.5802891254425,-0.012814704,6,643.62,0.0055972096,-0.07,0.027071768,0.9249785467982292,0.0
147456,229,1.8052871,179.96927118301392,-0.011821813,7,643.01,0.0065867123,-0.1,0.026248565,0.9208600744605064,0.0
151552,235,1.7939688,185.15268206596375,-0.012992047,6,647.86,0.0063665044,-0.14,0.024597142,0.922442652285099,0.0
155648,241,1.78059,190.32999300956726,-0.014910108,6,646.6,0.0072935047,-0.27,0.022534588,0.9180505201220512,0.0
